asctime,name,topic from,topic to,frame,offset received,frame delay (ms),msg creation delay (ms),consume time (ms),size data received (KB),decode time (ms),size data decoded (KB),process time (ms),size data processed (KB),encode time (ms),size data encoded (KB),send time (ms),size data sent (KB),offset sent
2024/04/22 21:15:56.706,csv_executor,input,final_uav_1,-1,113293,-1,52.19,3.01,17.031,0.54,15.856,12.89,929.878,0.52,929.393,120.05,929.393,793
2024/04/22 21:15:56.814,csv_executor,input,final_uav_1,-1,113294,-1,172.25,110.1,17.031,0.0,15.856,2.15,929.878,0.0,929.393,113.8,929.393,794
2024/04/22 21:15:56.995,csv_executor,input,final_uav_1,-1,113295,-1,170.01,1.54,17.031,0.0,15.856,1.56,929.878,0.58,929.393,289.61,929.393,795
2024/04/22 21:15:57.103,csv_executor,input,final_uav_1,-1,113296,-1,264.88,2.07,17.031,0.52,15.856,1.56,929.878,0.0,929.393,296.51,929.393,796
2024/04/22 21:15:57.212,csv_executor,input,final_uav_1,-1,113297,-1,437.78,1.58,17.124,0.0,15.949,2.62,929.878,0.52,929.393,225.26,929.393,797
2024/04/22 21:15:57.329,csv_executor,input,final_uav_1,-1,113298,-1,542.61,2.08,17.124,0.0,15.949,2.59,929.878,0.0,929.393,233.25,929.393,798
2024/04/22 21:15:57.442,csv_executor,input,final_uav_1,-1,113299,-1,645.22,2.07,17.124,0.0,15.949,2.61,929.878,0.53,929.393,235.91,929.393,799
2024/04/22 21:15:57.566,csv_executor,input,final_uav_1,-1,113300,-1,751.57,1.56,17.124,0.0,15.949,2.08,929.878,0.0,929.393,242.87,929.393,800
2024/04/22 21:15:57.680,csv_executor,input,final_uav_1,-1,113301,-1,848.19,2.6,17.124,0.0,15.949,3.12,929.878,1.05,929.393,245.72,929.393,801
2024/04/22 21:15:57.794,csv_executor,input,final_uav_1,-1,113302,-1,968.52,3.14,17.186,0.0,16.011,3.69,929.878,1.04,929.393,232.29,929.393,802
2024/04/22 21:15:57.925,csv_executor,input,final_uav_1,-1,113303,-1,1073.31,2.1,17.186,0.0,16.011,2.07,929.878,0.52,929.393,250.87,929.393,803
2024/04/22 21:15:58.066,csv_executor,input,final_uav_1,-1,113304,-1,1179.66,1.56,17.186,0.0,16.011,2.07,929.878,0.52,929.393,279.58,929.393,804
2024/04/22 21:15:58.175,csv_executor,input,final_uav_1,-1,113305,-1,1283.36,2.07,17.261,0.0,16.086,2.63,929.878,0.0,929.393,278.88,929.393,805
2024/04/22 21:15:58.283,csv_executor,input,final_uav_1,-1,113306,-1,1441.82,2.65,17.261,0.0,16.086,2.61,929.878,0.53,929.393,222.86,929.393,806
